"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","Creating a new category in the list","SUCCESS","2020-06-09T11:15:46.826+01:00[Europe/London]","0.0","22.05"
"Services CRUD test","Creating a new Service in the list","SUCCESS","2020-06-09T11:15:47.649+01:00[Europe/London]","0.0","21.26"
"Services CRUD test","Verify service was added to the list","SUCCESS","2020-06-09T11:16:10.133+01:00[Europe/London]","0.0","0.73"
"Categories CRUD test","Verify category was added to the list","SUCCESS","2020-06-09T11:16:10.170+01:00[Europe/London]","0.0","0.63"
"Categories CRUD test","Updating the category information and verifying ","SUCCESS","2020-06-09T11:16:10.800+01:00[Europe/London]","0.0","0.96"
"Services CRUD test","Updating the service information and verifying ","SUCCESS","2020-06-09T11:16:10.866+01:00[Europe/London]","0.0","0.9"
"Categories CRUD test","Deleting the category information and verify if the category is deleted ","SUCCESS","2020-06-09T11:16:11.760+01:00[Europe/London]","0.0","2.48"
"Services CRUD test","Deleting the category information and verify if the category is deleted ","SUCCESS","2020-06-09T11:16:11.772+01:00[Europe/London]","0.0","2.42"
"Stores CRUD test","Creating a new Store","SUCCESS","2020-06-09T11:16:18.257+01:00[Europe/London]","0.0","1.17"
"Stores CRUD test","Getting a created Store","SUCCESS","2020-06-09T11:16:19.427+01:00[Europe/London]","0.0","0.38"
"Product CRUD test","Creating a new Product in the list","SUCCESS","2020-06-09T11:16:19.770+01:00[Europe/London]","0.0","0.65"
"Stores CRUD test","This test will update the store information and verify the updated information","SUCCESS","2020-06-09T11:16:19.810+01:00[Europe/London]","0.0","0.73"
"Product CRUD test","Verify product was added to the list","SUCCESS","2020-06-09T11:16:20.424+01:00[Europe/London]","0.0","0.43"
"Stores CRUD test","This test will delete the store and verify the store is deleted ","SUCCESS","2020-06-09T11:16:20.555+01:00[Europe/London]","0.0","0.79"
"Product CRUD test","Updating the product information and verifying ","SUCCESS","2020-06-09T11:16:20.856+01:00[Europe/London]","0.0","0.6"
"Product CRUD test","Deleting the product information and verify if the product is deleted ","SUCCESS","2020-06-09T11:16:21.461+01:00[Europe/London]","0.0","0.65"
